Time,HeadPosx,HeadPosy,HeadPosz,rewardx,rewardz
14:49:33:573,-5.298811,1.595942,-1.697266,,
14:49:33:606,-5.30229,1.594444,-1.69981,,
14:49:33:640,-5.306233,1.59426,-1.702327,,
14:49:33:673,-5.310937,1.594006,-1.704842,,
14:49:33:706,-5.31548,1.593947,-1.707395,,
14:49:33:740,-5.320281,1.59446,-1.710079,,
14:49:33:773,-5.325438,1.595077,-1.712889,,
14:49:33:807,-5.330919,1.595776,-1.715773,,
14:49:33:840,-5.336151,1.596574,-1.7188,,
14:49:33:874,-5.341533,1.596525,-1.721769,,
14:49:33:907,-5.346391,1.595999,-1.724725,,
14:49:33:940,-5.350368,1.595327,-1.728039,,
14:49:33:974,-5.35419,1.594553,-1.731653,,
14:49:34:008,-5.357779,1.593892,-1.735308,,
14:49:34:041,-5.361364,1.593547,-1.738889,,
14:49:34:074,-5.364522,1.593659,-1.742448,,
14:49:34:108,-5.368104,1.593807,-1.745497,,
14:49:34:141,-5.3715,1.594336,-1.74865,,
14:49:34:174,-5.374916,1.59469,-1.751723,,
14:49:34:208,-5.377981,1.595052,-1.75495,,
14:49:34:241,-5.380752,1.595357,-1.758486,,
14:49:34:275,-5.383632,1.595465,-1.761872,,
14:49:34:308,-5.386118,1.595647,-1.765082,,
14:49:34:341,-5.387956,1.596002,-1.768224,,
14:49:34:375,-5.389419,1.596366,-1.771164,,
14:49:34:408,-5.390459,1.597411,-1.774016,,
14:49:34:441,-5.391473,1.598134,-1.776583,,
14:49:34:475,-5.392351,1.598722,-1.778868,,
14:49:34:508,-5.393183,1.598643,-1.780938,,
14:49:34:542,-5.39391,1.598044,-1.782967,,
14:49:34:575,-5.394821,1.597291,-1.78494,,
14:49:34:609,-5.395748,1.595946,-1.786844,,
14:49:34:642,-5.396539,1.594119,-1.788459,,
14:49:34:675,-5.396801,1.591534,-1.789912,,
14:49:34:709,-5.396509,1.589527,-1.791799,,
14:49:34:742,-5.394824,1.58761,-1.79366,,
14:49:34:775,-5.391563,1.586539,-1.795236,,
14:49:34:809,-5.386617,1.585934,-1.796425,,
